x,y,bool
120.01,23.67,1
120.01,23.66,1
120.01,23.65,1
120.01,23.64,1
120.01,23.63,1
120.01,23.62,1
120.01,23.61,1
120.01,23.6,1
120.01,23.59,1
120.01,23.58,1
120.01,23.57,1
120.01,23.56,1
120.01,23.55,1
120.01,23.54,1
120.01,23.53,1
120.01,23.52,1
120.01,23.51,1
120.01,23.5,1
120.01,23.49,1
120.01,23.48,1
120.01,23.47,1
120.01,23.46,1
120.01,23.45,1
120.01,23.44,1
120.01,23.43,1
120.01,23.42,1
120.01,23.41,1
120.01,23.4,1
120.01,23.39,1
120.01,23.38,1
120.01,23.37,1
120.01,23.36,1
120.01,23.35,1
120.01,23.34,1
120.01,23.33,1
120.01,23.32,1
120.01,23.31,1
120.01,23.3,1
120.01,23.29,1
120.01,23.28,1
120.01,23.27,1
120.01,23.26,1
120.01,23.25,1
120.01,23.24,1
120.01,23.23,1
120.01,23.22,1
120.01,23.21,1
120.01,23.2,1
120.01,23.19,1
120.01,23.18,1
120.01,23.17,1
120.01,23.16,1
120.01,23.15,1
120.01,23.14,1
120.01,23.13,1
120.01,23.12,1
120.01,23.11,1
120.01,23.1,1
120.01,23.09,1
120.01,23.08,1
120.01,23.07,1
120.01,23.06,1
120.01,23.05,1
120.01,23.04,1
120.01,23.03,1
120.01,23.02,1
120.01,23.01,1
120.01,23,1
120.01,22.99,1
120.01,22.98,1
120.01,22.97,1
120.01,22.96,1
120.01,22.95,1
120.01,22.94,1
120.01,22.93,1
120.01,22.92,1
120.01,22.91,1
120.01,22.9,1
120.01,22.89,1
120.01,22.88,1
120.01,22.87,1
120.01,22.86,1
120.01,22.85,1
120.01,22.84,1
120.01,22.83,1
120.01,22.82,1
120.01,22.81,1
120.01,22.8,1
120.01,22.79,1
120.01,22.78,1
120.01,22.77,1
120.01,22.76,1
120.01,22.75,1
120.01,22.74,1
120.01,22.73,1
120.01,22.72,1
120.01,22.71,1
120.01,22.7,1
120.01,22.69,1
120.01,22.68,1
120.01,22.67,1
120.01,22.66,1
120.01,22.65,1
120.01,22.64,1
120.01,22.63,1
120.01,22.62,1
120.01,22.61,1
120.01,22.6,1
120.01,22.59,1
120.01,22.58,1
120.01,22.57,1
120.01,22.56,1
120.01,22.55,1
120.01,22.54,1
120.01,22.53,1
120.01,22.52,1
120.01,22.51,1
120.01,22.5,1
120.01,22.49,1
120.01,22.48,1
120.01,22.47,1
120.01,22.46,1
120.01,22.45,1
120.01,22.44,1
120.01,22.43,1
120.01,22.42,1
120.01,22.41,1
120.01,22.4,1
120.01,22.39,1
120.01,22.38,1
120.01,22.37,1
120.01,22.36,1
120.01,22.35,1
120.01,22.34,1
120.01,22.33,1
120.01,22.32,1
120.01,22.31,1
120.01,22.3,1
120.01,22.29,1
120.01,22.28,1
120.01,22.27,1
120.01,22.26,1
120.01,22.25,1
120.01,22.24,1
120.01,22.23,1
120.01,22.22,1
120.01,22.21,1
120.01,22.2,1
120.01,22.19,1
120.01,22.18,1
120.01,22.17,1
120.01,22.16,1
120.01,22.15,1
120.01,22.14,1
120.01,22.13,1
120.01,22.12,1
120.01,22.11,1
120.01,22.1,1
120.01,22.09,1
120.01,22.08,1
120.01,22.07,1
120.01,22.06,1
120.01,22.05,1
120.01,22.04,1
120.01,22.03,1
120.01,22.02,1
120.01,22.01,1
120.01,22,1
120.01,21.99,1
120.01,21.98,1
120.01,21.97,1
120.01,21.96,1
120.01,21.95,1
120.01,21.94,1
120.01,21.93,1
120.01,21.92,1
120.01,21.91,1
120.01,21.9,1
120.01,21.89,1
120.01,21.88,1
120.01,21.87,1
120.01,21.86,1
120.01,21.85,1
120.01,21.84,1
120.01,21.83,1
120.01,21.82,1
120.01,21.81,1
120.01,21.8,1
120.01,21.79,1
120.01,21.78,1
120.01,21.77,1
120.01,21.76,1
120.01,21.75,1
120.01,21.74,1
120.01,21.73,1
120.01,21.72,1
120.01,21.71,1
120.01,21.7,1
120.01,21.69,1
120.01,21.68,1
120.01,21.67,1
120.01,21.66,1
120.01,21.65,1
120.01,21.64,1
120.01,21.63,1
120.01,21.62,1
120.01,21.61,1
120.01,21.6,1
120.01,21.59,1
120.01,21.58,1
120.01,21.57,1
120.01,21.56,1
120.01,21.55,1
120.01,21.54,1
120.01,21.53,1
120.01,21.52,1
120.01,21.51,1
120.01,21.5,1
120.01,21.49,1
120.01,21.48,1
120.01,21.47,1
120.01,21.46,1
120.01,21.45,1
120.01,21.44,1
120.01,21.43,1
120.01,21.42,1
120.01,21.41,1
120.01,21.4,1
120.01,21.39,1
120.01,21.38,1
120.01,21.37,1
120.01,21.36,1
120.01,21.35,1
120.01,21.34,1
120.01,21.33,1
120.01,21.32,1
120.01,21.31,1
120.01,21.3,1
120.01,21.29,1
120.01,21.28,1
120.01,21.27,1
120.01,21.26,1
120.01,21.25,1
120.01,21.24,1
120.01,21.23,1
120.01,21.22,1
120.01,21.21,1
120.01,21.2,1
120.01,21.19,1
120.01,21.18,1
120.01,21.17,1
120.01,21.16,1
120.01,21.15,1
120.01,21.14,1
120.01,21.13,1
120.01,21.12,1
120.01,21.11,1
120.01,21.1,1
120.01,21.09,1
120.01,21.08,1
120.01,21.07,1
120.01,21.06,1
120.01,21.05,1
120.01,21.04,1
120.01,21.03,1
120.01,21.02,1
120.01,21.01,1
120.01,21,1
120.02,26,1
120.02,25.99,1
120.02,25.98,1
120.02,25.97,1
120.02,25.96,1
120.02,25.95,1
120.02,25.94,1
120.02,25.93,1
120.02,25.92,1
120.02,25.91,1
120.02,25.9,1
120.02,25.89,1
120.02,25.88,1
120.02,25.87,1
120.02,25.86,1
120.02,25.85,1
120.02,25.84,1
120.02,25.83,1
120.02,25.82,1
120.02,25.81,1
120.02,25.8,1
120.02,25.79,1
120.02,25.78,1
120.02,25.77,1
120.02,25.76,1
120.02,25.75,1
120.02,25.74,1
120.02,25.73,1
120.02,25.72,1
120.02,25.71,1
120.02,25.7,1
120.02,25.69,1
120.02,25.68,1
120.02,25.67,1
120.02,25.66,1
120.02,25.65,1
120.02,25.64,1
120.02,25.63,1
120.02,25.62,1
120.02,25.61,1
120.02,25.6,1
120.02,25.59,1
120.02,25.58,1
120.02,25.57,1
120.02,25.56,1
120.02,25.55,1
120.02,25.54,1
120.02,25.53,1
120.02,25.52,1
120.02,25.51,1
120.02,25.5,1
120.02,25.49,1
120.02,25.48,1
120.02,25.47,1
120.02,25.46,1
120.02,25.45,1
120.02,25.44,1
120.02,25.43,1
120.02,25.42,1
120.02,25.41,1
120.02,25.4,1
120.02,25.39,1
120.02,25.38,1
120.02,25.37,1
120.02,25.36,1
120.02,25.35,1
120.02,25.34,1
120.02,25.33,1
120.02,25.32,1
120.02,25.31,1
120.02,25.3,1
120.02,25.29,1
120.02,25.28,1
120.02,25.27,1
120.02,25.26,1
120.02,25.25,1
120.02,25.24,1
120.02,25.23,1
120.02,25.22,1
120.02,25.21,1
120.02,25.2,1
120.02,25.19,1
120.02,25.18,1
120.02,25.17,1
120.02,25.16,1
120.02,25.15,1
120.02,25.14,1
120.02,25.13,1
120.02,25.12,1
120.02,25.11,1
120.02,25.1,1
120.02,25.09,1
120.02,25.08,1
120.02,25.07,1
120.02,25.06,1
120.02,25.05,1
120.02,25.04,1
120.02,25.03,1
120.02,25.02,1
120.02,25.01,1
120.02,25,1
120.02,24.99,1
120.02,24.98,1
120.02,24.97,1
120.02,24.96,1
120.02,24.95,1
120.02,24.94,1
120.02,24.93,1
120.02,24.92,1
120.02,24.91,1
120.02,24.9,1
120.02,24.89,1
120.02,24.88,1
120.02,24.87,1
120.02,24.86,1
120.02,24.85,1
120.02,24.84,1
120.02,24.83,1
120.02,24.82,1
120.02,24.81,1
120.02,24.8,1
120.02,24.79,1
120.02,24.78,1
120.02,24.77,1
120.02,24.76,1
120.02,24.75,1
120.02,24.74,1
120.02,24.73,1
120.02,24.72,1
120.02,24.71,1
120.02,24.7,1
120.02,24.69,1
120.02,24.68,1
120.02,24.67,1
120.02,24.66,1
120.02,24.65,1
120.02,24.64,1
120.02,24.63,1
120.02,24.62,1
120.02,24.61,1
120.02,24.6,1
120.02,24.59,1
120.02,24.58,1
120.02,24.57,1
120.02,24.56,1
120.02,24.55,1
120.02,24.54,1
120.02,24.53,1
120.02,24.52,1
120.02,24.51,1
120.02,24.5,1
120.02,24.49,1
120.02,24.48,1
120.02,24.47,1
120.02,24.46,1
120.02,24.45,1
120.02,24.44,1
120.02,24.43,1
120.02,24.42,1
120.02,24.41,1
120.02,24.4,1
120.02,24.39,1
120.02,24.38,1
120.02,24.37,1
120.02,24.36,1
120.02,24.35,1
120.02,24.34,1
120.02,24.33,1
120.02,24.32,1
120.02,24.31,1
120.02,24.3,1
120.02,24.29,1
120.02,24.28,1
120.02,24.27,1
120.02,24.26,1
120.02,24.25,1
120.02,24.24,1
120.02,24.23,1
120.02,24.22,1
120.02,24.21,1
120.02,24.2,1
120.02,24.19,1
120.02,24.18,1
120.02,24.17,1
120.02,24.16,1
120.02,24.15,1
120.02,24.14,1
120.02,24.13,1
120.02,24.12,1
120.02,24.11,1
120.02,24.1,1
120.02,24.09,1
120.02,24.08,1
120.02,24.07,1
120.02,24.06,1
120.02,24.05,1
120.02,24.04,1
120.02,24.03,1
120.02,24.02,1
120.02,24.01,1
120.02,24,1
120.02,23.99,1
120.02,23.98,1
120.02,23.97,1
120.02,23.96,1
120.02,23.95,1
120.02,23.94,1
120.02,23.93,1
120.02,23.92,1
120.02,23.91,1
120.02,23.9,1
120.02,23.89,1
120.02,23.88,1
120.02,23.87,1
120.02,23.86,1
120.02,23.85,1
120.02,23.84,1
120.02,23.83,1
120.02,23.82,1
120.02,23.81,1
120.02,23.8,1
120.02,23.79,1
120.02,23.78,1
120.02,23.77,1
120.02,23.76,1
120.02,23.75,1
120.02,23.74,1
120.02,23.73,1
120.02,23.72,1
120.02,23.71,1
120.02,23.7,1
120.02,23.69,1
120.02,23.68,1
120.02,23.67,1
120.02,23.66,1
120.02,23.65,1
120.02,23.64,1
120.02,23.63,1
120.02,23.62,1
120.02,23.61,1
120.02,23.6,1
120.02,23.59,1
120.02,23.58,1
120.02,23.57,1
120.02,23.56,1
120.02,23.55,1
120.02,23.54,1
120.02,23.53,1
120.02,23.52,1
120.02,23.51,1
120.02,23.5,1
120.02,23.49,1
120.02,23.48,1
120.02,23.47,1
120.02,23.46,1
120.02,23.45,1
120.02,23.44,1
120.02,23.43,1
120.02,23.42,1
120.02,23.41,1
120.02,23.4,1
120.02,23.39,1
120.02,23.38,1
120.02,23.37,1
120.02,23.36,1
120.02,23.35,1
120.02,23.34,1
120.02,23.33,1
120.02,23.32,1
120.02,23.31,1
120.02,23.3,1
120.02,23.29,1
120.02,23.28,1
120.02,23.27,1
120.02,23.26,1
120.02,23.25,1
120.02,23.24,1
120.02,23.23,1
120.02,23.22,1
120.02,23.21,1
120.02,23.2,1
120.02,23.19,1
120.02,23.18,1
120.02,23.17,1
120.02,23.16,1
120.02,23.15,1
120.02,23.14,1
120.02,23.13,1
120.02,23.12,1
120.02,23.11,1
120.02,23.1,1
120.02,23.09,1
120.02,23.08,1
120.02,23.07,1
120.02,23.06,1
120.02,23.05,1
120.02,23.04,1
120.02,23.03,1
120.02,23.02,1
120.02,23.01,1
120.02,23,1
120.02,22.99,1
120.02,22.98,1
120.02,22.97,1
120.02,22.96,1
120.02,22.95,1
120.02,22.94,1
120.02,22.93,1
120.02,22.92,1
120.02,22.91,1
120.02,22.9,1
120.02,22.89,1
120.02,22.88,1
120.02,22.87,1
120.02,22.86,1
120.02,22.85,1
120.02,22.84,1
120.02,22.83,1
120.02,22.82,1
120.02,22.81,1
120.02,22.8,1
120.02,22.79,1
120.02,22.78,1
120.02,22.77,1
120.02,22.76,1
120.02,22.75,1
120.02,22.74,1
120.02,22.73,1
120.02,22.72,1
120.02,22.71,1
120.02,22.7,1
120.02,22.69,1
120.02,22.68,1
120.02,22.67,1
120.02,22.66,1
120.02,22.65,1
120.02,22.64,1
120.02,22.63,1
120.02,22.62,1
120.02,22.61,1
120.02,22.6,1
120.02,22.59,1
120.02,22.58,1
120.02,22.57,1
120.02,22.56,1
120.02,22.55,1
120.02,22.54,1
120.02,22.53,1
120.02,22.52,1
120.02,22.51,1
120.02,22.5,1
120.02,22.49,1
120.02,22.48,1
120.02,22.47,1
120.02,22.46,1
120.02,22.45,1
120.02,22.44,1
120.02,22.43,1
120.02,22.42,1
120.02,22.41,1
120.02,22.4,1
120.02,22.39,1
120.02,22.38,1
120.02,22.37,1
120.02,22.36,1
120.02,22.35,1
120.02,22.34,1
120.02,22.33,1
120.02,22.32,1
120.02,22.31,1
120.02,22.3,1
120.02,22.29,1
120.02,22.28,1
120.02,22.27,1
120.02,22.26,1
120.02,22.25,1
120.02,22.24,1
120.02,22.23,1
120.02,22.22,1
120.02,22.21,1
120.02,22.2,1
120.02,22.19,1
120.02,22.18,1
120.02,22.17,1
120.02,22.16,1
120.02,22.15,1
120.02,22.14,1
120.02,22.13,1
120.02,22.12,1
120.02,22.11,1
120.02,22.1,1
120.02,22.09,1
120.02,22.08,1
120.02,22.07,1
120.02,22.06,1
120.02,22.05,1
120.02,22.04,1
120.02,22.03,1
120.02,22.02,1
120.02,22.01,1
120.02,22,1
120.02,21.99,1
120.02,21.98,1
120.02,21.97,1
120.02,21.96,1
120.02,21.95,1
120.02,21.94,1
120.02,21.93,1
120.02,21.92,1
120.02,21.91,1
120.02,21.9,1
120.02,21.89,1
120.02,21.88,1
120.02,21.87,1
120.02,21.86,1
120.02,21.85,1
120.02,21.84,1
120.02,21.83,1
120.02,21.82,1
120.02,21.81,1
120.02,21.8,1
120.02,21.79,1
120.02,21.78,1
120.02,21.77,1
120.02,21.76,1
120.02,21.75,1
120.02,21.74,1
120.02,21.73,1
120.02,21.72,1
120.02,21.71,1
120.02,21.7,1
120.02,21.69,1
120.02,21.68,1
120.02,21.67,1
120.02,21.66,1
120.02,21.65,1
120.02,21.64,1
120.02,21.63,1
120.02,21.62,1
120.02,21.61,1
120.02,21.6,1
120.02,21.59,1
120.02,21.58,1
120.02,21.57,1
120.02,21.56,1
120.02,21.55,1
120.02,21.54,1
120.02,21.53,1
120.02,21.52,1
120.02,21.51,1
120.02,21.5,1
120.02,21.49,1
120.02,21.48,1
120.02,21.47,1
120.02,21.46,1
120.02,21.45,1
120.02,21.44,1
120.02,21.43,1
120.02,21.42,1
120.02,21.41,1
120.02,21.4,1
120.02,21.39,1
120.02,21.38,1
120.02,21.37,1
120.02,21.36,1
120.02,21.35,1
120.02,21.34,1
120.02,21.33,1
120.02,21.32,1
120.02,21.31,1
120.02,21.3,1
120.02,21.29,1
120.02,21.28,1
120.02,21.27,1
120.02,21.26,1
120.02,21.25,1
120.02,21.24,1
120.02,21.23,1
120.02,21.22,1
120.02,21.21,1
120.02,21.2,1
120.02,21.19,1
120.02,21.18,1
120.02,21.17,1
120.02,21.16,1
120.02,21.15,1
120.02,21.14,1
120.02,21.13,1
120.02,21.12,1
120.02,21.11,1
120.02,21.1,1
120.02,21.09,1
120.02,21.08,1
120.02,21.07,1
120.02,21.06,1
120.02,21.05,1
